"GEO_ID","id"
"NAME","Geographic Area Name"
"S1703_C01_001E","Estimate!!Total!!Population for whom poverty status is determined"
"S1703_C01_001M","Margin of Error!!Total MOE!!Population for whom poverty status is determined"
"S1703_C01_002E","Estimate!!Total!!Population for whom poverty status is determined!!SEX!!Male"
"S1703_C01_002M","Margin of Error!!Total MOE!!Population for whom poverty status is determined!!SEX!!Male"
"S1703_C01_003E","Estimate!!Total!!Population for whom poverty status is determined!!SEX!!Female"
"S1703_C01_003M","Margin of Error!!Total MOE!!Population for whom poverty status is determined!!SEX!!Female"
"S1703_C01_004E","Estimate!!Total!!Population for whom poverty status is determined!!AGE!!Under 18 years"
"S1703_C01_004M","Margin of Error!!Total MOE!!Population for whom poverty status is determined!!AGE!!Under 18 years"
"S1703_C01_005E","Estimate!!Total!!Population for whom poverty status is determined!!AGE!!Under 18 years!!Related children of householder under 18 years"
"S1703_C01_005M","Margin of Error!!Total MOE!!Population for whom poverty status is determined!!AGE!!Under 18 years!!Related children of householder under 18 years"
"S1703_C01_006E","Estimate!!Total!!Population for whom poverty status is determined!!AGE!!18 to 64 years"
"S1703_C01_006M","Margin of Error!!Total MOE!!Population for whom poverty status is determined!!AGE!!18 to 64 years"
"S1703_C01_007E","Estimate!!Total!!Population for whom poverty status is determined!!AGE!!65 years and over"
"S1703_C01_007M","Margin of Error!!Total MOE!!Population for whom poverty status is determined!!AGE!!65 years and over"
"S1703_C01_008E","Estimate!!Total!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S1703_C01_008M","Margin of Error!!Total MOE!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S1703_C01_009E","Estimate!!Total!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White"
"S1703_C01_009M","Margin of Error!!Total MOE!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White"
"S1703_C01_010E","Estimate!!Total!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American"
"S1703_C01_010M","Margin of Error!!Total MOE!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American"
"S1703_C01_011E","Estimate!!Total!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native"
"S1703_C01_011M","Margin of Error!!Total MOE!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native"
"S1703_C01_012E","Estimate!!Total!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian"
"S1703_C01_012M","Margin of Error!!Total MOE!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian"
"S1703_C01_013E","Estimate!!Total!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander"
"S1703_C01_013M","Margin of Error!!Total MOE!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander"
"S1703_C01_014E","Estimate!!Total!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race"
"S1703_C01_014M","Margin of Error!!Total MOE!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race"
"S1703_C01_015E","Estimate!!Total!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S1703_C01_015M","Margin of Error!!Total MOE!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S1703_C01_016E","Estimate!!Total!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race)"
"S1703_C01_016M","Margin of Error!!Total MOE!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race)"
"S1703_C01_017E","Estimate!!Total!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino"
"S1703_C01_017M","Margin of Error!!Total MOE!!Population for whom poverty status is determined!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino"
"S1703_C01_018E","Estimate!!Total!!Population for whom poverty status is determined!!LIVING ARRANGEMENT!!In family households"
"S1703_C01_018M","Margin of Error!!Total MOE!!Population for whom poverty status is determined!!LIVING ARRANGEMENT!!In family households"
"S1703_C01_019E","Estimate!!Total!!Population for whom poverty status is determined!!LIVING ARRANGEMENT!!In family households!!In married-couple family"
"S1703_C01_019M","Margin of Error!!Total MOE!!Population for whom poverty status is determined!!LIVING ARRANGEMENT!!In family households!!In married-couple family"
"S1703_C01_020E","Estimate!!Total!!Population for whom poverty status is determined!!LIVING ARRANGEMENT!!In family households!!In Female householder, no husband present households"
"S1703_C01_020M","Margin of Error!!Total MOE!!Population for whom poverty status is determined!!LIVING ARRANGEMENT!!In family households!!In Female householder, no husband present households"
"S1703_C01_021E","Estimate!!Total!!Population for whom poverty status is determined!!LIVING ARRANGEMENT!!In other living arrangements"
"S1703_C01_021M","Margin of Error!!Total MOE!!Population for whom poverty status is determined!!LIVING ARRANGEMENT!!In other living arrangements"
"S1703_C01_022E","Estimate!!Total!!Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over"
"S1703_C01_022M","Margin of Error!!Total MOE!!Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over"
"S1703_C01_023E","Estimate!!Total!!Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate"
