variable,min,max,mean,SD,r,stars
covid_rate,0,14257,967,1004,,
dis_pct,3.83,33.71,15.95,4.4,-0.056,2
white_pct,0.85,33.26,13.55,4.63,-0.326,2
black_pct,0,20.7,1.48,2.66,0.456,2
native_pct,0,13.74,0.28,0.94,0.02,0
asian_pct,0,3.45,0.09,0.18,0.097,2
other_pct,0,15.24,0.55,0.65,0.028,0
non_hisp_white_pct,0.1,33.16,12.84,4.81,-0.355,2
hisp_pct,0,25.26,0.99,2.15,0.119,2
non_hisp_non_white_pct,0,20.93,2.13,2.75,0.439,2
bpov_pct,0,14.97,3.57,1.85,0.108,2
apov_pct,0,27.3,12.48,3.06,-0.146,2
pct_5_17,0,5.08,1.03,0.48,0.083,2
pct_18_34,0,5.59,1.56,0.67,0.066,1
pct_35_64,1.01,18.36,6.35,2.3,-0.005,0
pct_65_74,0,12.73,3.09,1.16,-0.089,2
pct_75,0,11.13,3.87,1.19,-0.181,2
male_pct,1.3,18.19,8.06,2.37,-0.131,2
female_pct,1.91,19.94,7.9,2.26,0.028,0
