GEOID,NAME,S1810_C01_001E,S1810_C02_001E,S1810_C02_004E,S1810_C02_005E,S1810_C02_006E,S1810_C02_007E,S1810_C02_008E,S1810_C02_009E,S1810_C02_010E,S1810_C02_011E,S1810_C02_012E,S1810_C02_014E,S1810_C02_015E,S1810_C02_016E,S1810_C02_017E,S1810_C02_018E,S1810_C02_002E,S1810_C02_003E
"21007","Ballard County, Kentucky",7972,1332,1213,68,30,1,0,0,20,1204,30,151,69,515,215,375,674,658
"21017","Bourbon County, Kentucky",19901,3193,2821,352,0,0,0,20,0,2815,26,231,242,1192,779,725,1719,1474
"21031","Butler County, Kentucky",12529,2738,2662,6,26,22,0,0,22,2656,6,167,289,1091,528,626,1415,1323
"21065","Estill County, Kentucky",14193,3733,3584,0,54,0,0,0,95,3575,9,103,350,2038,666,533,1779,1954
"21069","Fleming County, Kentucky",14479,3542,3458,26,9,0,0,0,49,3458,0,356,397,1425,656,708,1688,1854
"21093","Hardin County, Kentucky",103569,18201,14368,2328,85,443,15,176,786,13923,710,1522,2464,7932,2932,3282,8961,9240
"21099","Hart County, Kentucky",18359,4056,3773,192,15,13,0,0,63,3756,26,169,532,2049,684,612,1898,2158
"21131","Leslie County, Kentucky",10183,3220,3179,0,0,8,0,14,19,3179,14,65,207,1870,589,489,1706,1514
"21151","Madison County, Kentucky",88838,14791,13496,667,26,83,0,58,461,13462,73,929,2218,6497,2675,2413,7015,7776
"21155","Marion County, Kentucky",18471,3900,3372,368,5,15,68,63,9,3357,78,427,418,1665,742,644,1921,1979
"21179","Nelson County, Kentucky",45085,8328,7740,395,0,36,0,45,112,7676,113,589,840,3813,1606,1417,3938,4390
"17091","Kankakee County, Illinois",108902,15078,12031,2524,73,96,0,176,178,11537,691,657,1736,6354,3026,3305,7212,7866
"17187","Warren County, Illinois",17143,2281,2074,78,0,0,0,69,60,2040,66,158,173,848,461,641,1119,1162
"17197","Will County, Illinois",681426,59972,46380,7498,259,2204,45,2374,1212,42458,6721,4677,6648,22431,11013,15095,28499,31473
"18027","Daviess County, Indiana",32466,4623,4303,118,10,15,0,93,84,4256,140,447,631,1509,929,1103,2593,2030
"18061","Harrison County, Indiana",39423,6924,6668,181,9,6,0,27,33,6635,58,447,1020,2582,1446,1429,3612,3312
"01001","Autauga County, Alabama",54277,10465,7427,2537,82,25,0,120,274,7262,299,1205,1046,4299,1990,1925,4935,5530
"01005","Barbour County, Alabama",22882,5078,2479,2462,0,5,1,99,32,2460,153,456,520,1934,909,1247,2235,2843
"01023","Choctaw County, Alabama",12945,3677,1789,1875,5,0,0,0,8,1776,13,197,304,1621,764,773,1644,2033
"01035","Conecuh County, Alabama",12469,2847,1459,1348,18,0,0,0,22,1437,22,119,395,1089,567,668,1475,1372
"01051","Elmore County, Alabama",76330,13646,11119,1985,3,74,0,79,386,11070,170,707,1502,6130,2674,2612,6732,6914
"01055","Etowah County, Alabama",102146,19976,16240,2801,210,66,42,86,531,16069,375,1204,2341,8820,3632,3925,9498,10478
"01065","Hale County, Alabama",14649,3088,1190,1886,0,12,0,0,0,1190,0,149,370,1297,573,673,1469,1619
"01089","Madison County, Alabama",352428,46042,32960,10417,414,784,46,321,1100,32325,1000,3648,5402,18077,8150,10564,21386,24656
"01113","Russell County, Alabama",56501,10638,5772,4301,22,41,0,155,347,5637,187,703,1166,4987,1742,2032,5188,5450
"01117","Shelby County, Alabama",209638,23579,19742,2932,67,317,8,242,271,19518,416,1768,2413,9207,4637,5554,11326,12253
"05011","Bradley County, Arkansas",10854,2324,1498,738,0,0,0,75,13,1479,103,140,162,1235,282,505,1043,1281
"05015","Carroll County, Arkansas",27668,4356,3980,93,56,103,21,41,62,3884,187,280,281,1711,1049,1035,2274,2082
"05019","Clark County, Arkansas",22038,4319,3181,987,18,0,0,13,120,3080,121,389,960,1446,656,813,1917,2402
"05025","Cleveland County, Arkansas",8125,1661,1466,176,0,3,0,0,16,1462,4,144,129,657,400,331,828,833
"05063","Independence County, Arkansas",36781,7258,6896,33,47,34,0,50,198,6822,140,214,681,3468,1274,1621,3449,3809
"05067","Jackson County, Arkansas",14237,3155,2626,230,0,0,3,0,296,2610,16,178,304,1245,669,749,1555,1600
"05121","Randolph County, Arkansas",17278,3728,3651,26,15,0,0,0,36,3552,118,181,388,1617,754,788,1884,1844
"06001","Alameda County, California",1634128,153134,69863,29085,1989,31408,1555,10502,8732,57407,26663,8774,18892,56481,25614,43004,69904,83230
"06003","Alpine County, California",1146,237,154,0,73,0,0,0,10,150,9,16,40,85,54,42,122,115
"06005","Amador County, California",34174,6308,5936,25,60,20,15,27,225,5596,396,236,408,2156,1734,1751,3221,3087
"06013","Contra Costa County, California",1128003,126742,77664,15540,1038,14518,655,9227,8100,62220,27890,9489,15167,47421,20693,33519,59951,66791
"06019","Fresno County, California",966908,126139,82650,8659,1875,10746,276,16969,4964,49540,53836,10786,16910,50515,20523,26770,61089,65050
"06023","Humboldt County, California",134810,21941,17680,257,1500,373,0,607,1524,16988,1842,1231,3131,9273,4094,4119,11205,10736
"06033","Lake County, California",63451,12766,10451,329,555,174,28,692,537,10007,1235,384,1009,5496,3145,2717,6935,5831
"06037","Los Angeles County, California",10030450,993035,559564,120359,9698,120699,2999,143902,35814,332593,393923,63407,113527,357864,173461,281351,462227,530808
"06047","Merced County, California",266325,36206,21801,1614,445,2648,54,7860,1784,14252,16511,3971,4659,14121,5802,7488,17910,18296
"06057","Nevada County, California",98103,14614,13508,40,215,43,82,222,504,12675,1183,587,1302,5258,3277,4083,7060,7554
"06081","San Mateo County, California",762101,65049,39800,2846,620,14062,655,4639,2427,32584,13079,3608,6338,19555,11824,23428,29576,35473
"06085","Santa Clara County, California",1912773,151779,83673,4743,1256,41982,712,13061,6352,64634,35331,8940,17750,47125,25957,51191,70677,81102
"06115","Yuba County, California",73339,11572,8736,329,232,611,7,459,1198,7630,1975,1000,1594,5258,1931,1740,6191,5381
"08013","Boulder County, Colorado",318941,25747,23432,237,294,477,11,696,600,21199,3134,1608,4081,9352,4033,6605,12970,12777
