COUNTY_FIPS,Countyname,ST_Name,GiZscore,GiPvalue,Gi_Bin,REL_RISK,RISK_BIN,Total_POP,Cases,Incidence,CivNonPop,PerDisable,PD_White,PD_Black,PD_Native,PD_Asian,PD_OthRac,PD_NHwhite,PD_Hispani,PD_NHoth,PDisBpov,PDisApov,PD_age5to17,PDage18to34,PDage35to64,PDage65to74,PDage75,PD_Male,PD_Female,ZPerDisable,ZPD_White,ZPD_Black,ZPD_Native,ZPD_Asian,ZPD_OthRac,ZPD_NHwhite,ZPD_Hispani,ZPD_NHoth,ZPDisBpov,ZPDisApov,ZPD_age5to17,ZPDage18to34,ZPDage35to64,ZPDage65to74,ZPDage75,ZPD_Male,ZPD_Female
1001,Autauga,Alabama,4.3822,0,3,0,1,55601,972,1748.17,54277,19.281,13.684,4.674,0.151,0.046,0.726,13.3795,0.5509,5.3503,5.133,14.121,2.22,1.927,7.92,3.666,3.547,9.0922,10.1885,0.755661596,0.029030884,1.202258387,-0.141333214,-0.250455012,0.271212158,0.113075874,-0.2025053,1.170360087,0.845745768,0.535399577,2.475119531,0.539553748,0.683385684,0.497413003,-0.267945441,0.43605376,1.013418914
1003,Baldwin,Alabama,2.7301,0.0063,3,0,1,218022,3056,1401.69,205452,14.049,11.872,1.509,0.255,0.125,0.287,11.6767,0.2862,2.0856,2.249,11.854,0.751,1.314,5.223,3.165,3.535,7.1793,6.8692,-0.432678217,-0.362258236,0.010751977,-0.03118554,0.194012304,-0.401592263,-0.24104166,-0.325838273,-0.017130076,-0.712543158,-0.204991483,-0.587332688,-0.372985508,-0.487992009,0.063860839,-0.278015813,-0.370381458,-0.453983284
1005,Barbour,Alabama,4.0836,0,3,0,1,24881,550,2210.52,22882,22.192,10.834,10.76,0,0.022,0.577,10.7508,0.6686,10.7727,7.63,14.552,1.993,2.273,8.452,3.973,5.45,9.7675,12.4246,1.416834607,-0.586407302,3.493414157,-0.301259163,-0.385483058,0.042857127,-0.43359359,-0.14766476,3.142684238,2.194930042,0.676162058,2.001888317,1.054624845,0.914447209,0.763082693,1.329047688,0.720744911,2.001958081
1007,Bibb,Alabama,3.3058,0.0009,3,0,1,22400,355,1584.82,20468,16.67,13.255,3.259,0,0,0.156,13.1669,0.0879,3.4151,2.892,13.778,0.875,2.164,6.718,2.604,4.27,7.5044,9.1655,0.162627335,-0.063608758,0.669562788,-0.301259163,-0.509258766,-0.60236078,0.068863173,-0.418233168,0.466457442,-0.36511605,0.423377462,-0.328827531,0.892362563,0.161325622,-0.42161374,0.33879446,-0.233326677,0.561169208
1009,Blount,Alabama,2.1524,0.0314,2,0,1,57840,685,1184.3,57169,14.193,13.493,0.192,0.107,0.049,0.352,13.2694,0.3796,0.544,2.53,11.697,0.575,0.876,6.376,3.409,2.944,7.3694,6.8236,-0.399971617,-0.012214271,-0.485050217,-0.187934152,-0.233576507,-0.301974296,0.090179268,-0.282319952,-0.577866081,-0.560712649,-0.256266911,-0.954243233,-1.025011926,0.012786071,0.275011993,-0.773981625,-0.290239613,-0.474142215
1011,Bullock,Alabama,3.6165,0.0003,3,0,1,10138,430,4241.47,9978,14.442,3.879,10.563,0,0,0,3.5578,0.3207,10.5632,5.046,9.496,1.253,1.503,6.504,3.127,2.055,8.0778,6.364,-0.343416454,-2.088292419,3.419250883,-0.301259163,-0.509258766,-0.8414439,-1.929463585,-0.309763519,3.066481466,0.798737745,-0.975102695,0.459196253,-0.091631643,0.068379821,0.030976643,-1.520028336,0.008405747,-0.677323021
1013,Butler,Alabama,5.567,0,3,0,1,19680,739,3755.08,19734,17.695,9.339,8.012,0,0.051,0.294,9.3392,0,8.3561,4.712,12.937,0.851,1.383,7.875,2.782,4.743,8.4372,9.2581,0.395434733,-0.90924242,2.458892952,-0.301259163,-0.222324169,-0.390864174,-0.727152617,-0.459188847,2.2636789,0.618270165,0.148710995,-0.378860788,-0.270269018,0.663841006,-0.267577242,0.735734949,0.159920629,0.602105985
1015,Calhoun,Alabama,0.4819,0.6299,0,0,1,114277,1409,1232.97,113561,20.78,15.996,3.957,0.091,0.108,0.628,15.7219,0.3963,4.6618,5.066,16.002,1.582,1.995,9.482,3.772,3.89,10.2949,10.4851,1.09612822,0.528291616,0.932334186,-0.204879948,0.098367439,0.121018916,0.600205845,-0.274538839,0.919927588,0.809544187,1.149724933,1.145068806,0.640781593,1.361803169,0.589142603,0.019899353,0.94308478,1.144540383
1017,Chambers,Alabama,2.6786,0.0074,3,0,1,33615,806,2397.74,33433,16.66,10.134,6.123,0.072,0.156,0.176,9.9213,0.2124,6.5265,4.317,12.414,0.41,1.316,7.846,3.688,3.401,7.699,8.9612,0.160356043,-0.737567558,1.747753739,-0.225003081,0.36842353,-0.571709098,-0.606097991,-0.36022427,1.598186818,0.404842937,-0.022098235,-1.298221869,-0.370008218,0.651245547,0.516451222,-0.390468298,-0.151287735,0.470851892
1019,Cherokee,Alabama,0.9201,0.3575,0,0,1,26032,219,841.27,25587,19.971,18.334,1.079,0.035,0.106,0.418,18.2554,0.1251,1.5907,4.58,15.458,1.274,2.357,7.848,4.428,4.053,9.9269,10.0442,0.912380722,1.033166872,-0.151127251,-0.264190234,0.087115102,-0.200823745,1.127077335,-0.400900389,-0.197143211,0.546947648,0.972057206,0.502975352,1.179671007,0.6521142,1.156827672,0.15668857,0.787944333,0.949626507
