,GEO_ID,NAME,COUNTY,STATE,S1810_C01_001E,S1810_C02_001E,S1810_C02_002E,S1810_C02_003E,S1810_C02_004E,S1810_C02_005E,S1810_C02_006E,S1810_C02_007E,S1810_C02_008E,S1810_C02_009E,S1810_C02_010E,S1810_C02_011E,S1810_C02_012E,S1810_C02_014E,S1810_C02_015E,S1810_C02_016E,S1810_C02_017E,S1810_C02_018E
1,0500000US04009,"Graham County, Arizona",Graham County, Arizona,34003,4414,2269,2145,3534,40,575,1,0,153,111,2492,1280,426,461,1518,865,1144
4,0500000US04013,"Maricopa County, Arizona",Maricopa County, Arizona,4222760,469151,231647,237504,381232,26678,10198,11172,756,25089,14026,309802,104940,35664,56024,173498,82861,118679
5,0500000US04023,"Santa Cruz County, Arizona",Santa Cruz County, Arizona,46251,5750,2837,2913,4912,68,96,48,0,474,152,1320,4287,261,722,1834,1193,1722
6,0500000US04012,"La Paz County, Arizona",La Paz County, Arizona,20560,4631,2529,2102,3939,16,500,0,0,70,106,3506,606,118,206,1458,1126,1723
7,0500000US04015,"Mohave County, Arizona",Mohave County, Arizona,203056,45731,23980,21751,42815,342,812,281,16,456,1009,39221,4259,1875,2953,17799,10759,12315
8,0500000US04005,"Coconino County, Arizona",Coconino County, Arizona,139384,16525,8514,8011,10158,225,5014,105,0,446,577,8899,2001,1184,3106,6541,2780,2888
9,0500000US04025,"Yavapai County, Arizona",Yavapai County, Arizona,223086,40778,21163,19615,37987,206,504,313,2,710,1056,34900,3910,1712,3548,14746,9255,11460
10,0500000US04011,"Greenlee County, Arizona",Greenlee County, Arizona,9459,1230,739,491,1146,18,23,0,0,30,13,660,516,128,142,478,70,412
11,0500000US04021,"Pinal County, Arizona",Pinal County, Arizona,393843,59854,30531,29323,50701,2198,2285,997,56,1933,1684,40459,13039,4616,6100,22565,12916,13609
12,0500000US05099,"Nevada County, Arkansas",Nevada County, Arkansas,8274,1833,801,1032,1141,681,0,10,1,0,0,1141,0,169,170,760,370,355
13,0500000US05037,"Cross County, Arkansas",Cross County, Arkansas,16771,3342,1587,1755,2211,795,21,0,0,0,315,2211,11,264,428,1318,682,634
14,0500000US05039,"Dallas County, Arkansas",Dallas County, Arkansas,6734,1565,792,773,907,658,0,0,0,0,0,895,15,40,133,749,266,377
15,0500000US05027,"Columbia County, Arkansas",Columbia County, Arkansas,23463,4335,1790,2545,2482,1710,13,39,0,12,79,2437,57,172,535,1642,1022,957
16,0500000US05125,"Saline County, Arkansas",Saline County, Arkansas,116834,19739,9764,9975,18009,1019,152,125,0,16,418,17815,263,1858,1821,7789,4003,4128
