,GEO_ID,NAME,COUNTY,STATE,C18130_001E,C18130_004E,C18130_005E,C18130_011E,C18130_012E,C18130_018E,C18130_019E
1,0500000US20173,"Sedgwick County, Kansas",Sedgwick County, Kansas,503905.0,1648.0,4238.0,8979.0,25806.0,2739.0,21389.0
2,0500000US20157,"Republic County, Kansas",Republic County, Kansas,4586.0,5.0,13.0,63.0,164.0,46.0,336.0
3,0500000US20065,"Graham County, Kansas",Graham County, Kansas,2460.0,0.0,8.0,42.0,181.0,27.0,240.0
4,0500000US20045,"Douglas County, Kansas",Douglas County, Kansas,110808.0,181.0,869.0,2214.0,4590.0,362.0,3772.0
5,0500000US20179,"Sheridan County, Kansas",Sheridan County, Kansas,2470.0,0.0,46.0,16.0,138.0,15.0,155.0
6,0500000US20069,"Gray County, Kansas",Gray County, Kansas,5951.0,0.0,34.0,30.0,285.0,17.0,288.0
7,0500000US42023,"Cameron County, Pennsylvania",Cameron County, Pennsylvania,4640.0,4.0,15.0,167.0,216.0,38.0,427.0
8,0500000US42017,"Bucks County, Pennsylvania",Bucks County, Pennsylvania,617835.0,703.0,4492.0,5072.0,25327.0,2647.0,29198.0
9,0500000US42077,"Lehigh County, Pennsylvania",Lehigh County, Pennsylvania,352983.0,1808.0,3623.0,7402.0,18080.0,1857.0,16197.0
10,0500000US42031,"Clarion County, Pennsylvania",Clarion County, Pennsylvania,37556.0,110.0,222.0,1171.0,1991.0,295.0,2459.0
11,0500000US42059,"Greene County, Pennsylvania",Greene County, Pennsylvania,33598.0,266.0,280.0,1130.0,2323.0,276.0,2320.0
12,0500000US42079,"Luzerne County, Pennsylvania",Luzerne County, Pennsylvania,305980.0,1592.0,2258.0,6039.0,17160.0,2308.0,18970.0
13,0500000US42037,"Columbia County, Pennsylvania",Columbia County, Pennsylvania,61384.0,185.0,302.0,1230.0,3386.0,419.0,3150.0
14,0500000US42065,"Jefferson County, Pennsylvania",Jefferson County, Pennsylvania,43210.0,179.0,267.0,1060.0,2268.0,404.0,2785.0
15,0500000US42099,"Perry County, Pennsylvania",Perry County, Pennsylvania,45275.0,69.0,398.0,670.0,2685.0,208.0,2348.0
16,0500000US42113,"Sullivan County, Pennsylvania",Sullivan County, Pennsylvania,5983.0,11.0,18.0,141.0,389.0,55.0,535.0
17,0500000US44003,"Kent County, Rhode Island",Kent County, Rhode Island,162142.0,367.0,1502.0,2881.0,10494.0,1172.0,9007.0
18,0500000US44009,"Washington County, Rhode Island",Washington County, Rhode Island,119826.0,236.0,518.0,1578.0,4509.0,660.0,6337.0
19,0500000US45071,"Newberry County, South Carolina",Newberry County, South Carolina,36920.0,105.0,176.0,682.0,1969.0,455.0,2159.0
20,0500000US45027,"Clarendon County, South Carolina",Clarendon County, South Carolina,32498.0,211.0,413.0,1211.0,3066.0,533.0,2462.0
21,0500000US45085,"Sumter County, South Carolina",Sumter County, South Carolina,102004.0,485.0,1088.0,3446.0,8128.0,1022.0,5766.0
22,0500000US45011,"Barnwell County, South Carolina",Barnwell County, South Carolina,21125.0,391.0,86.0,854.0,1699.0,249.0,1775.0
23,0500000US45031,"Darlington County, South Carolina",Darlington County, South Carolina,65651.0,609.0,477.0,2667.0,4076.0,825.0,3871.0
24,0500000US45091,"York County, South Carolina",York County, South Carolina,254055.0,478.0,1417.0,3284.0,10756.0,1166.0,9585.0
25,0500000US45021,"Cherokee County, South Carolina",Cherokee County, South Carolina,55880.0,335.0,429.0,1539.0,3853.0,440.0,3270.0
26,0500000US45053,"Jasper County, South Carolina",Jasper County, South Carolina,27351.0,158.0,163.0,488.0,1896.0,92.0,1425.0
27,0500000US45061,"Lee County, South Carolina",Lee County, South Carolina,16029.0,148.0,85.0,525.0,1269.0,383.0,1030.0
28,0500000US45001,"Abbeville County, South Carolina",Abbeville County, South Carolina,23928.0,86.0,297.0,728.0,1639.0,372.0,1829.0
29,0500000US46085,"Lyman County, South Dakota",Lyman County, South Dakota,3820.0,10.0,16.0,37.0,115.0,42.0,179.0
30,0500000US46039,"Deuel County, South Dakota",Deuel County, South Dakota,4230.0,0.0,19.0,22.0,215.0,54.0,190.0
31,0500000US46015,"Brule County, South Dakota",Brule County, South Dakota,5065.0,15.0,46.0,166.0,311.0,54.0,206.0
32,0500000US46053,"Gregory County, South Dakota",Gregory County, South Dakota,4142.0,3.0,19.0,38.0,179.0,59.0,246.0
33,0500000US46099,"Minnehaha County, South Dakota",Minnehaha County, South Dakota,181036.0,333.0,1261.0,3168.0,7308.0,942.0,5877.0
34,0500000US46025,"Clark County, South Dakota",Clark County, South Dakota,3588.0,30.0,21.0,20.0,180.0,21.0,194.0
35,0500000US46077,"Kingsbury County, South Dakota",Kingsbury County, South Dakota,4877.0,3.0,27.0,33.0,176.0,72.0,272.0
36,0500000US46027,"Clay County, South Dakota",Clay County, South Dakota,11758.0,43.0,69.0,361.0,563.0,38.0,284.0
37,0500000US46041,"Dewey County, South Dakota",Dewey County, South Dakota,5727.0,23.0,33.0,143.0,151.0,56.0,153.0
38,0500000US46065,"Hughes County, South Dakota",Hughes County, South Dakota,16381.0,0.0,99.0,193.0,733.0,56.0,896.0
39,0500000US46111,"Sanborn County, South Dakota",Sanborn County, South Dakota,2312.0,12.0,2.0,23.0,109.0,14.0,114.0
40,0500000US46059,"Hand County, South Dakota",Hand County, South Dakota,3234.0,4.0,20.0,25.0,110.0,45.0,225.0
41,0500000US46135,"Yankton County, South Dakota",Yankton County, South Dakota,21270.0,18.0,25.0,564.0,1347.0,94.0,1113.0
42,0500000US46005,"Beadle County, South Dakota",Beadle County, South Dakota,18025.0,42.0,85.0,244.0,749.0,190.0,712.0
43,0500000US46035,"Davison County, South Dakota",Davison County, South Dakota,18998.0,106.0,95.0,226.0,938.0,156.0,1246.0
44,0500000US46073,"Jerauld County, South Dakota",Jerauld County, South Dakota,1986.0,0.0,1.0,8.0,101.0,41.0,98.0
45,0500000US46117,"Stanley County, South Dakota",Stanley County, South Dakota,2962.0,0.0,0.0,10.0,90.0,28.0,134.0
46,0500000US46107,"Potter County, South Dakota",Potter County, South Dakota,2239.0,2.0,3.0,15.0,107.0,11.0,155.0
